,Name of Chess Player,Country of Chess Player,Title of Chess Player,Rating,Description
501,Dr Florian Handke,Germany,GM,2540,
502,Conrad Holt,United States,GM,2540,
503,Li Min Peng,Ukraine,GM,2540,
504,Matej Sebenik,Slovenia,GM,2540,Matej Sebenik is a Slovenian chess grandmaster who qualified for the 2021 FIDE World Cup.
505,Mahammad Muradli,Azerbaijan,GM,2539,
506,Vlastimil Babula,Czech Republic,GM,2539,
507,Marcin Krzyzanowski,Poland,GM,2539,
508,Viktorija Cmilyte,Lithuania,GM,,"Viktorija Cmilyte-Nielsen is a Lithuanian grandmaster and politician. She is currently the top player in her country (as of February 2021).  Cmilyte-Nielsen won the European Youth Chess Championship in the U12 Girls category in 1993 and the Girls U12 World Youth Chess Championship in 1995.
Cmilyte-Nielsen..."
509,Iegor Krivoborodov,Russia,GM,2538,
510,Andreas Kelires,Greece,GM,2538,
511,Viktor Matviishen,Ukraine,GM,2538,
512,Sebastien Maze,France,GM,2538,
513,Wouter Spoelman,Netherlands,GM,2538,
514,Roeland Pruijssers,Netherlands,GM,2538,
515,Platon Galperin,Ukraine,GM,2538,
516,Leandro Krysa,Argentina,GM,2538,"Leandro Krysa is an Argentinian grandmaster who qualified for the 2021 FIDE World Cup.

  
Your browser does not support the audio element."
517,Krikor Sevag Mekhitarian,Brazil,GM,2537,"Krikor Sevag Mekhitarian is an Armenian-Brazilian grandmaster, commentator, streamer, Director of Portuguese Content for Chess.com, and chess celebrity. He won multiple state championships as a scholastic player and has also won two Brazilian Chess Championships—he remains one of the top Brazilian..."
518,Robby Kevlishvili,Netherlands,GM,2537,
519,Vladimir Zakhartsov,Russia,GM,2537,
520,Pier Luigi Basso,Italy,GM,2536,
521,Dai Changren,China,IM,2536,
522,Edvins Kengis,Latvia,GM,,
523,Nikita Afanasiev,Russia,GM,2536,
524,Robert Ruck,Hungary,GM,2536,
525,Dmitry Obolenskikh,Russia,IM,2536,
526,Tomasz Warakomski,Poland,GM,2536,
527,Igor Janik,Poland,GM,2535,
528,Grzegorz Nasuta,Poland,GM,2535,
529,Nikita Petrov,Russia,GM,2535,
530,Zhamsaran Tsydypov,Russia,GM,2535,
531,Yan Liu,China,GM,2535,
532,Aleksander Mista,Poland,GM,2534,
533,Adam Tukhaev,Ukraine,GM,2534,
534,Levan Aroshidze,Spain,GM,2534,
535,Yuri Vovk,Ukraine,GM,2534,
536,Alberto David,Italy,GM,2533,
537,Gilberto Hernandez Guerrero,Mexico,GM,2533,
538,Ildar Ibragimov,Russia,GM,,
539,Susanto Megaranto,Indonesia,GM,2533,"Susanto Megaranto is an Indonesian grandmaster. In the second round of the 2021 FIDE World Cup, he forfeited his match with GM Fabiano Caruana after testing positive for Covid-19."
540,Diego Flores,Argentina,GM,2532,
541,Gergely Kantor,Hungary,GM,2532,
542,Romain Edouard,France,GM,2532,"GM Romain Edouard is a French grandmaster (located in Barcelona, Spain, as of June 2021) who reached the ""super grandmaster"" threshold with a 2702 rating in 2014. He was a second of GM Veselin Topalov for several years.
Edouard is also a chess coach, author, and Chess.com Lesson instructor and is featured..."
543,Dmitriy Khegay,Russia,GM,2532,
544,Federico Perez Ponsa,Argentina,GM,2532,"Federico Perez Ponsa is an Argentinian chess grandmaster and Buenos Aires chess champion. Perez represented Argentina in the Olympiads in 2014, 2016, and 2018. He also won the International San Luis Open in 2014 and the Mercosur Masters in 2016. In 2017, Perez became the Buenos Aires champion and finished..."
545,Valery Kazakouski,Lithuania,GM,2531,
546,Nikolozi Kacharava,Georgia,IM,2531,
547,Liu Qingnan,China,GM,2531,
548,Martin Petrov,Bulgaria,GM,2531,
549,Omar Almeida Quintana,Cuba,GM,2531,
550,Krzysztof Bulski,Poland,GM,,
551,Danyyil Dvirnyy,Italy,GM,2531,
552,Ibro Saric,Bosnia-Herzegovina,GM,2531,
553,Tan Zhongyi,China,GM,2530,Tan Zhongyi is a Chinese grandmaster who was Women’s World Chess Champion from 2017 to 2018. She won the most notable title in women’s chess by defeating GM Anna Muzychuk in rapid tiebreaks and lost the title in her 2018 match with GM Ju Wenjun. Tan has three girls' youth world titles...
554,Sergei Matsenko,Russia,GM,2530,
555,Vitaly Sivuk,Ukraine,GM,2530,
556,Aronyak Ghosh,India,IM,2530,"In this Indian name, the name Ghosh is a patronymic, and the person should be referred to by the given name, Aronyak.IM Aronyak Ghosh is an Indian international master who qualified for the 2022 Junior Speed Chess Championship."
557,Giorgi Margvelashvili,Georgia,GM,2530,
558,Jaan Ehlvest,United States,GM,2530,
559,Jonas Lampert,Germany,GM,2529,
560,Vadim Moiseenko,Russia,GM,2529,
561,Namig Guliyev,Azerbaijan,GM,2528,
562,Sebastian Iermito,Argentina,IM,2528,
563,Stanislav Novikov,Russia,GM,,
564,Allan Stig Rasmussen,Denmark,GM,2528,
565,Jason Liang,United States,IM,2528,
566,Christopher Lutz,Germany,GM,2527,
567,Elham Abdrlauf,Norway,IM,2527,
568,Igor Novikov,United States,GM,2527,
569,Ruslan Shcherbakov,Russia,GM,,
570,Rasul Ibrahimov,Azerbaijan,GM,,
571,Predrag Nikolic,Bosnia-Herzegovina,GM,2527,
572,Jan H Timman,Netherlands,GM,2526,"Jan Timman (1951-  ), one of Western Europe’s best chess players, is a top-flight Dutch grandmaster and was nine-time chess champion of the Netherlands between 1974 and 1996. He was the challenger to FIDE’s world championship in 1993.

  
Your browser does not support the audio element.

Early..."
573,Aleksey Goganov,Russia,GM,2526,
574,Guillaume Lamard,France,IM,2526,
575,Yuri Yakovich,Russia,GM,,
576,Vasily Yemelin,Russia,GM,2526,
577,Sipke Ernst,Netherlands,GM,2526,Bio coming soon
578,Hichem Hamdouchi,Morocco,GM,2526,
579,Sebastian Bogner,Switzerland,GM,2526,Sebastian Bogner is a Swiss chess grandmaster who qualified for the 2021 FIDE World Cup.
580,Dambasuren Batsuren,Mongolia,GM,2525,Dambasuren Batsuren is a Mongolian grandmaster who qualified for the 2021 FIDE World Cup.
581,Alexander Huzman,Israel,GM,2525,
582,Kaido Kulaots,Estonia,GM,2525,Kaido Kulaots is an Estonian grandmaster who qualified for the 2021 FIDE World Cup. He won the 2019 Aeroflot Open.
583,Mert Yilmazyerli,Turkey,GM,2525,
584,Alexandre Danin,Russia,GM,,
585,Yuri Gonzalez Vidal,Cuba,GM,2525,
586,Kjetil Aleksander Lie,Norway,GM,2525,
587,Zdenko Kozul,Croatia,GM,2525,
588,Bartlomiej Macieja,Poland,GM,2525,
589,Pranav Anand,India,GM,2525,"In this Indian name, Anand is his father's name, and the person should be referred to by the given name, Pranav."
590,Michal Krasenkow,Poland,GM,2525,"Michal Krasenkow is a Polish grandmaster who qualified for the 2021 FIDE World Cup.

  
Your browser does not support the audio element."
591,Christopher Repka,Slovakia,GM,2524,
592,Hugo Ten Hertog,Netherlands,GM,2524,
593,Mykhajlo Brodskyj,Ukraine,GM,,
594,Xiu Deshun,China,GM,2524,
595,Tadeas Kriebel,Czech Republic,IM,2524,
596,Tigran K Harutyunian,Armenia,GM,2524,
597,Mariya Muzychuk,Ukraine,GM,2523,Ukrainian GM Mariya Muzychuk belongs on the short list of elite female chess players. She captured the most prestigious championship in chess by becoming Women’s World Chess Champion in 2015—the same year she entered the top-10 ranked women in the world (and hasn't yet departed that list)....
598,Praveen Balakrishnan,United States,GM,2523,Bio coming soon
599,Maxim Dlugy,United States,GM,2523,Bio coming soon
600,Marc Andria Maurizzi,France,GM,2523,"Marc'Andria Maurizzi was born on May 16, 2007, in Bastia, France. In 2019, he won the French junior championship for players under 12 years old. In July of that year, he secured the IM title at age 12 years and two months.
He scored his first two GM norms in Catalonia. In December 2020, Maurizzi placed..."
601,Momchil Petkov,Bulgaria,GM,2523,
602,Cristhian Cruz,Peru,GM,2523,
603,Anna Muzychuk,Ukraine,GM,2522,Ukrainian GM Anna Muzychuk is easily among the world’s best female chess players. She’s the fourth woman to achieve a 2600 rating and has won three world titles for shorter time controls: two Women's World Blitz Chess Championships (2014 and 2016) and one Women's World Rapid Chess Championship...
604,Ulf Andersson,Sweden,GM,2522,"Ulf Andersson is a Swedish grandmaster.  He is highly regarded as one of the best positional players of his time - at his peak he reached #4 on the FIDE rating list. Andersson is a renowned endgame specialist, and he created a reputation for winning “unwinnable” games.  Here is..."
605,Gregory Serper,United States,GM,,"Gregory Serper is an American grandmaster and chess author who emigrated from Uzbekistan in 1996. In 1985, Serper was invited to join the prestigious Botvinnik-Kasparov chess school. Three years later, he came in third place in the 1988 World Junior Chess Championship, scoring the same as GM Joel Lautier,..."
606,Andrew Tang,United States,GM,2522,"Andrew Tang is an American grandmaster who earned that title in 2017 at the age of 17. Known as ""Penguin GM,"" he is one of the best bullet chess players in the world. Along with GM Hikaru Nakamura, Tang is one of the few players to have achieved a Chess.com bullet rating of 3500. He streams on Twitch..."
607,David Gavrilescu,Romania,IM,2522,David Gavrilescu is a Romanian IM and the reigning Romanian champion as of 2020. He is a participant of the 2022 Grand Chess Tour's Warsaw Rapid & Blitz.
608,Ravi Haria,England,GM,2522,Ravi Haria is an English chess international master who qualified for the 2021 FIDE World Cup.
609,Aleksandr Kharitonov,Russia,GM,2522,
610,Sune Berg Hansen,Denmark,GM,2521,
611,Jakov Geller,Russia,GM,,
612,Mikhail Mozharov,Russia,GM,2521,
613,Costica-Ciprian Nanu,Romania,GM,2521,
614,Novendra Priasmoro,Indonesia,GM,2521,
615,Zoran Jovanovic,Croatia,GM,2521,
616,Isan Reynaldo Ortiz Suarez,Cuba,GM,2521,
617,Erald Dervishi,Albania,GM,2520,
618,Anouar Ismagambetov,Kazakhstan,GM,,
619,Renato Terry,Peru,IM,2520,
620,Athanasios Mastrovasilis,Greece,GM,2520,
621,Nguyen Anh Khoi,Vietnam,GM,,
622,Stamatis Kourkoulos-Arditis,Greece,IM,2520,
623,Koustav Chatterjee,India,IM,2520,"In this Indian name, the name Chatterjee is a patronymic, and the person should be referred to by the given name, Koustav."
624,Alexandra Kosteniuk,FIDE,GM,2519,"Alexandra Kosteniuk is among the best female chess players. At the age of 20, she became the 10th woman to earn the grandmaster title, and her biggest accomplishment came four years later, when in 2008, she won the Women’s World Chess Championship. She’s also a two-time Russian Women’s..."
625,Thomas Beerdsen,Netherlands,IM,2519,
626,Mihail Nikitenko,Belarus,GM,2519,
627,Michael Prusikin,Germany,GM,2519,
628,Jorge Viterbo Ferreira,Portugal,GM,2518,
629,Tomasz Markowski,Poland,GM,2518,
630,Thomas Luther,Germany,GM,2518,
631,Zurab Sturua,Georgia,GM,2518,
632,Vlad-Cristian Jianu,Romania,GM,2518,
633,Roman Ovetchkin,Russia,GM,,
634,Twan Burg,Netherlands,GM,2518,
635,Nana Dzagnidze,Georgia,GM,2517,"Nana Dzagnidze is a Georgian grandmaster and one of the top female players in the world.  She won the World Girls U12 Championship in 1999 and the World Girls U20 Championship in 2003. In 2010 she won the tournament in Jermuk, the 4th leg of FIDE Women's Grand Prix series.  In 2017 she won..."
636,Nicolas D Checa,United States,GM,2517,"Nicolas Checa is an American grandmaster and a participant in the 2021 Junior Speed Chess Championship. In 2013, at the age of 11, he won the New York State Chess Championship. He earned his GM title in 2019. Checa has a win against GM Fabiano Caruana with the black pieces on his resume, coming in the..."
637,Andrew Z Hong,United States,GM,2517,"Andrew Hong is an American chess player who earned his grandmaster title in 2021. In 2022, he was a participant in both the U.S. Junior Chess Championship and the Chess.com Junior Speed Chess Championship."
638,Dusko Pavasovic,Slovenia,GM,2517,
639,Dmitry Gordievsky,Russia,GM,2517,
640,Bence Korpa,Hungary,GM,2517,
641,Bharath Subramaniyam,India,GM,2517,"Full bio coming soon...In this Indian name, the person should be referred to by the given name, Bharath Subramaniyam."
642,Jewgeni Nikolajewitsch Schaposchnikow,Russia,GM,2517,
643,Jan Bernasek,Czech Republic,GM,2516,
644,Andre Diamant,Brazil,GM,2516,
645,Christopher Noe,Germany,IM,2516,Full bio coming soon.
646,Vojtech Plat,Czech Republic,GM,2516,Vojtech Plat is a Czech grandmaster who qualified for the 2021 FIDE World Cup.
647,Yusup Atabayev,Turkmenistan,GM,2516,
648,Dmitry Bocharov,Russia,GM,2516,
649,Stelios Halkias,Greece,GM,2516,
650,Vugar Rasulov,Azerbaijan,GM,2516,
651,Anthony Wirig,France,GM,2516,
652,Arjun Kalyan,India,GM,2516,"In this Indian name, the name Kalyan is a patronymic, and the person should be referred to by the given name, Arjun."
653,Jan Krejci,Czech Republic,GM,2516,
654,Arnaud Hauchard,France,GM,2515,
655,Karthik Venkataraman,India,GM,2515,
656,Pierre Laurent-Paoli,France,IM,2515,
657,Luka Paichadze,Georgia,GM,2515,Luka Paichadze is a Georgian grandmaster who qualified for the 2021 FIDE World Cup.
658,Victor Mikhalevski,Israel,GM,2515,Victor Mikhalevski is an Israeli chess grandmaster who qualified for the 2021 FIDE World Cup.
659,Vladislav Nozdrachev,Russia,IM,2515,
660,Yeoh Li Tian,Malaysia,IM,2515,
661,Pierre Bailet,France,GM,2515,
662,Nikola Djukic,Montenegro,GM,2514,
663,P Iniyan,India,GM,2514,"In this Indian name, the name Paneerselvam is his father's name and the person should be referred to by the given name, Iniyan."
664,Marko Nenezic,Serbia,IM,2514,
665,Pablo Zarnicki,Argentina,GM,,
666,Viacheslav V Zakhartsov,Russia,GM,,
667,Gergely-Andras-Gyula Szabo,Romania,GM,2514,
668,Jakob Vang Glud,Denmark,GM,2513,
669,Dominik Horvath,Austria,IM,2513,
670,Mikhail Kazakov,Ukraine,GM,2513,
671,Roman Kezin,Russia,IM,2513,
672,Andrey Sumets,Ukraine,GM,2513,
673,Rodrigo Vasquez Schroeder,Chile,GM,2513,
674,Renato R Quintiliano Pinto,Brazil,GM,2513,
675,Robin Swinkels,Netherlands,GM,2513,
676,Santiago Avila Pavas,Colombia,IM,2513,
677,Ivan Rozum,Russia,GM,2513,
678,Juraj Druska,Slovakia,IM,2513,Juraj Druska is a Slovakian chess international master who qualified for the 2021 FIDE World Cup.
679,Sergey Trushnikov,Russia,,2513,
680,Sabino Brunello,Italy,GM,2512,
681,Lars Oskar Hauge,Norway,GM,2512,
682,Andrey Orlov,Russia,GM,2512,
683,Raymond Song,China,IM,2512,
684,Spartak Vysochin,Ukraine,GM,2512,
685,Luc Winants,Belgium,GM,,
686,Gergely Aczel,Hungary,GM,2511,
687,Tamas Jr Fodor,Hungary,GM,2511,
688,Tiger Hillarp Persson,Sweden,GM,2511,
689,Lorenzo Lodici,Italy,GM,2511,
690,Yannick Pelletier,Switzerland,GM,2511,
691,Daniel Alsina Leal,Spain,GM,2511,
692,Leon Mons,Germany,GM,2511,
693,Ioannis Nikolaidis,Greece,GM,2511,
694,Michal Olszewski,Poland,GM,2511,
695,Erik Blomqvist,Sweden,GM,2510,
696,Artur Davtyan,Armenia,IM,2510,
697,Grigor Grigorov,Bulgaria,GM,2510,
698,Alexandre Lesiege,Canada,GM,,
699,Vitaly Kunin,Germany,GM,2510,
700,Jordi Magem Badals,Spain,GM,2510,
701,Hannes Stefansson,Iceland,GM,2510,
702,Bardiya Daneshvar,Iran,IM,2510,
703,Bayarsaikhan Gundavaa,Mongolia,GM,2510,
704,Guha Mitrabha,India,GM,2510,"In this Indian name, the name Guha is a patronymic, and the person should be referred to by the given name, Mitrabha."
705,Andrei Shchekachev,France,GM,2510,
706,Xu Yi,China,GM,2510,
707,Ante Saric,Croatia,GM,2510,
708,Isik Can,Turkey,IM,2509,
709,Luka Draskovic,Montenegro,GM,2509,Luka Draskovic is a Montenegrin chess international master who qualified for the 2021 FIDE World Cup.
710,Jean-Pierre Le Roux,France,GM,2509,
711,Sarunas Sulskis,Lithuania,GM,2509,
712,Sahaj Grover,India,GM,2509,"In this Indian name, the name Grover is a patronymic, and the person should be referred to by the given name, Sahaj."
713,Gabriel Mateuta,Romania,IM,,
714,Jung Min Seo,Sweden,IM,2509,
715,Andrey Zhigalko,Belarus,GM,2509,
716,Michael William Brown,United States,GM,,
717,Jaime Alexander Cuartas,Colombia,GM,2509,
718,Ernesto Fernandez Romero,Spain,GM,,
719,Pavel Vorontsov,Ukraine,GM,2509,
720,Tal Baron,Israel,GM,2508,
721,Zoltan Medvegy,Hungary,GM,2508,
722,Marcin Tazbir,Poland,GM,2508,
723,Liam Vrolijk,Netherlands,GM,2508,
724,Ruud Janssen,Netherlands,GM,2508,
725,Harika Dronavalli,India,GM,2507,"In this Indian name, the name Dronavalli is a patronymic, and the person should be referred to by the given name, Harika.Indian GM Harika Dronavalli is a three-time bronze medal winner in the Women’s World Chess Championship and one of the top players in women’s chess. She has three world..."
726,Balaji Daggupati,United States,GM,2507,
727,Roberto Garcia Pantoja,Cuba,GM,2507,
728,Abdulla Gadimbayli,Azerbaijan,GM,2507,"IM Abdulla Gadimbayli is the 2022 World Junior Chess Champion. He scored 8/11 to win the tournament, putting him in position to obtain the grandmaster title. He was also national champion of Azerbaijan in 2018.

""We've done well! It's a fantastic result for Azerbaijan"" - World Junior Champion Abdulla..."
729,Igor Miladinovic,Serbia,GM,2507,
730,Elshan Moradiabadi,United States,GM,2507,Bio coming soon
731,Daniel Pulvett Marin,Spain,IM,2507,
732,Ivan Schitco,Moldova,GM,2507,
733,Jesper Sondergaard Thybo,Denmark,GM,2507,
734,Subramanian Arun Prasad,India,GM,,"In this Indian name, Subramanian is his father's name, and the person should be referred to by the given name, Arun Prasad."
735,Lelys Stanley Martinez Duany,Cuba,GM,2507,
736,Kaan Kucuksari,Sweden,IM,2507,
737,Dusan Popovic,Serbia,GM,2507,
738,Stephen J Gordon,England,GM,,
739,Robert Andrew Hungaski,United States,GM,2506,Robert Hungaski is an American chess grandmaster who qualified for the 2021 FIDE World Cup.
740,Artem Iljin,Russia,GM,,
741,Alexandr Triapishko,Russia,IM,,
742,Tomas Polak,Czech Republic,GM,2506,
743,Eduardas Rozentalis,Lithuania,GM,2506,Bio coming soon
744,Emanuel Berg,Sweden,GM,2506,
745,Boban Bogosavljevic,Serbia,GM,2506,
746,Vladimir Belous,Russia,GM,2505,
747,Pedro Antonio Gines Esteo,Spain,GM,2505,
748,Lance Henderson de La Fuente,Spain,GM,2505,
749,Aditya Mittal,India,IM,2505,"In this Indian name, the name Mittal is a patronymic, and the person should be referred to by the given name, Aditya."
750,Dylan Isidro Berdayes Ason,Cuba,IM,2505,
751,Alexandre Qashashvili,Georgia,GM,,
752,Alessio Valsecchi,Italy,GM,2505,
753,Oskar Wieczorek,Poland,GM,2505,
754,Dmitry Kryakvin,Russia,GM,2505,
755,Marco Baldauf,Germany,GM,2504,
756,Hipolito Asis Gargatagli,Spain,GM,2504,
757,Sankalp Gupta,India,GM,2504,"In this Indian name, the name Gupta is a patronymic, and the person should be referred to by the given name, Sankalp."
758,M Pranesh,India,IM,2504,"In this Indian name, the person should be referred to by the given name, Pranesh"
759,Aleksei Pridorozhni,Russia,GM,2504,
760,Stanislav Smetankin,Belarus,IM,,
761,Eugene Perelshteyn,United States,GM,2503,"Eugene Perelshteyn is a Ukrainian-American grandmaster and writer. He moved to the United States in 1994 and won the U.S. Junior Closed Championship in 2000. A year later, Perelshteyn won the Samford Chess Fellowship awarded by U.S. Chess Trust. Other successes include winning the 2007 SPICE Cup and..."
762,Hedinn Steingrimsson,Iceland,GM,2503,
763,Aryan Gholami,Iran,GM,2503,
764,Yevgeniy Roshka,Ukraine,IM,2503,
765,Daniel Sadzikowski,Poland,GM,2503,
766,Justin Tan,Australia,GM,2503,
767,Wan Yunguo,China,GM,2503,
768,Pawel Czarnota,Poland,GM,2502,
769,Piotr Kiriakov,Russia,GM,,
770,Sergey Ionov,Russia,GM,2502,
771,Volodymyr Vetoshko,Ukraine,GM,2502,
772,Irakli Beradze,Georgia,IM,2502,
773,Fabien Libiszewski,France,GM,2502,
774,Lucian-Costin Miron,Romania,GM,2502,
775,Sundar M Shyam,India,GM,2502,"In this Indian name, the name Mohanraj is his father's name, and the person should be referred to by the given name, Shyamsundar"
776,Andrey Drygalov,Russia,GM,2502,
777,Joris Brenninkmeijer,Netherlands,IM,2501,
778,Radoslav Dimitrov,Bulgaria,GM,2501,
779,Anthony He,United States,IM,2501,
780,Amirreza Pour Agha Bala,Iran,,2501,
781,Viacheslav Tilicheev,Russia,GM,2501,
782,Ilja Zaragatski,Germany,GM,2501,
783,Manuel Apicella,France,GM,2501,
784,Amirreza Pourramezanali,Iran,GM,2501,
785,Maia Chiburdanidze,Georgia,GM,,"Maia Chiburdanidze is a Georgian (formerly Soviet Union) grandmaster and became the sixth Women’s World Chess Champion at the age of 17. She then held the most prestigious title in women’s chess for 13 years.
Easily one of the top female chess players in history, Chiburdanidze has won 14..."
786,Ermes Espinosa Veloz,Cuba,GM,2500,
787,Lou Yiping,China,IM,2500,
788,Jon S Speelman,England,GM,2500,
789,Alexei Kornev,Russia,GM,,
790,Ariel Erenberg,Israel,IM,2500,
791,Alexander Beliavsky,Slovenia,GM,2499,"Alexander Beliavsky is a Slovenian grandmaster who played most of his career for the Soviet Union. He also and briefly played for Ukraine after Soviet dissolution before moving to his adopted country in 1994. Beliavsky was a two-time world championship candidate and four-time Soviet champion (1974,..."
792,Toivo Keinanen,Finland,IM,2499,
793,Rene Stern,Germany,GM,2499,
794,Vasil Spasov,Bulgaria,GM,2499,
795,Anurag Mhamal,India,GM,,
796,Toms Kantans,Latvia,GM,2499,
797,Igor Khenkin,Germany,GM,2499,
798,Vladimir Hamitevici,Moldova,GM,2499,
799,Polina Shuvalova,Russia,IM,2498,"Polina Shuvalova is a Russian international master and three-time World Girls Champion. She earned two of those world titles in the under-18 category in 2018 and 2019, and the final gold medal came in the under-20 category in 2019. In 2016, she won the Moscow Women’s Chess Championship and the..."
800,Joel Benjamin,United States,GM,2498,
801,Jose Gabriel Cardoso Cardoso,Colombia,GM,2498,
802,Lukasz Cyborowski,Poland,GM,2498,
803,A Koushik Girish,India,GM,,
804,Vitali Golod,Israel,GM,2498,
805,Alexander Naumann,Germany,GM,2498,
806,Mladen Palac,Croatia,GM,2498,
807,Henrik Danielsen,Iceland,GM,2498,
808,Laszlo Gonda,Hungary,GM,2498,
809,Alejandro Moreno Trujillo,Spain,IM,2498,
810,Pablo Salinas Herrera,Chile,GM,2498,Pablo Salinas Herrera is a Chilean chess grandmaster who qualified for the 2021 FIDE World Cup.
811,Konstantine Shanava,Georgia,GM,2498,
812,Jose Angel Guerra Mendez,Spain,GM,2497,
813,Dmitri Maksimov,Ukraine,GM,,
814,Martin Petr,Czech Republic,GM,2497,
815,Alexander Berelovich,Germany,GM,2497,
816,Arkadiusz Leniart,Poland,GM,2497,
817,Casper Schoppen,Netherlands,GM,2497,
818,Zhihang Xu,China,IM,2497,
819,Yu Ruiyuan,China,GM,,
820,Robert Zelcic,Croatia,GM,2497,
821,Sergio Cacho Reigadas,Spain,IM,,
822,Zhansaya Abdumalik,Kazakhstan,GM,2496,"Kazakhstani GM Zhansaya Abdumalik is a former child prodigy and one of the youngest rising stars in women’s chess. She has three world youth championships in under-8, under-12, and junior (under-20) girls sections. Her resume also includes a women’s championship of Kazakhstan at the age..."
823,Vladimir Burmakin,Russia,GM,2496,
824,Qi Chen b,China,IM,2496,
825,Eyal Grinberg,Israel,IM,2496,
826,Murtas Kazhgaleyev,Kazakhstan,GM,2496,
827,Zbigniew Pakleza,Poland,GM,2496,
828,Samant Aditya S,India,IM,2496,"In this Indian name, the name Samant is a patronymic, and the person should be referred to by the given name, Aditya."
829,S Dhopade Swapnil,India,GM,2496,"In this Indian name, the name Dhopade is a patronymic, and the person should be referred to by the given name, Swapnil."
830,Arman Mikaelyan,Armenia,GM,2496,
831,Samir Sahidi,Slovakia,IM,2496,
832,Balazs Csonka,Hungary,IM,2496,
833,Meilis Annaberdiev,Turkmenistan,GM,2495,
834,Sebastien Cossin,France,IM,2495,
835,Aleksander Delchev,Bulgaria,GM,2495,
836,Dmitry Frolyanov,Russia,GM,2495,
837,Mika Karttunen,Finland,IM,2495,
838,Arsen Kukhmazov,Russia,IM,2495,
839,Gabor Nagy,Hungary,GM,2495,
840,Tuan Minh Tran,Vietnam,GM,2495,
841,Clovis Vernay,France,GM,2495,
842,Akash G,India,GM,,
843,Aliaksei Charnushevich,France,GM,2495,
844,Aleksandar Kovacevic,Serbia,GM,2495,
845,Csaba Horvath,Hungary,GM,2494,
846,Razvan Preotu,Canada,GM,2494,Razvan Preotu is a Canadian chess grandmaster who qualified for the 2021 FIDE World Cup.
847,Juan Carlos Gonzalez Zamora,Mexico,GM,2494,"Juan Carlos Gonzalez Zamora is a Mexican chess grandmaster who qualified for the 2021 FIDE World Cup.

  
Your browser does not support the audio element."
848,G A Stany,India,GM,2494,"In this Indian name, Anthony is his father's name, and the person should be referred to by the given name, Stany."
849,Ivan Yeletsky,Russia,FM,2494,
850,Juan Carlos Obregon Rivero,Cuba,GM,2494,
851,Adham Fawzy,Egypt,GM,2494,Adham Fawzy is an Egyptian chess grandmaster who qualified for the 2021 FIDE World Cup.
852,Nino Batsiashvili,Georgia,GM,2493,"Nino Batsiashvili is a Georgian grandmaster and three-time national champion. After taking her first Georgian Women’s Chess Championship in 2013, she won the same event two years later in 2015. That year, she not only placed second in the Women’s European Individual Chess Championship and..."
853,Aleksej Aleksandrov,Belarus,GM,2493,
854,Ido Gorshtein,Israel,IM,2493,
855,Dimitri Komarov,Ukraine,GM,2493,
856,Andrei Murariu,Romania,GM,,
857,Cristhian Camilo Rios,Colombia,GM,2493,
858,Philipp Schlosser,Germany,GM,2493,
859,Dawit Schengelia,Austria,GM,2493,
860,Rafael Vaganian,Armenia,GM,2493,
861,Vereslav S Eingorn,Ukraine,GM,,
862,Oliver Barbosa,Philippines,GM,2492,
863,Luka Budisavljevic,Serbia,GM,2492,bio coming soon...
864,Eric Lobron,Germany,GM,2492,
865,Johan Salomon,Norway,GM,2492,
866,Ognjen Jovanic,Croatia,GM,2492,
867,Alina Kashlinskaya,Poland,IM,2491,"Alina Kashlinskaya is a Polish-Russian international master and the 2019 European Women’s Individual Chess Champion. In May 2022, she switched federations from Russia to Poland.
Earlier in her career, she won silver at the 2003 Under-10 European Girls Youth Chess Championship and the 2011 Under-18..."
868,Evandro Amorim Barbosa,Brazil,GM,2491,
869,David Klein,Netherlands,GM,2491,
870,Helgi Olafsson,Iceland,GM,2491,
871,Samy Shoker,Egypt,GM,2491,
872,David Brodsky,United States,GM,2491,
873,Debashis Das,India,GM,2491,"In this Indian name, the name Das is a patronymic, and the person should be referred to by the given name, Debashish."
874,Roi Reinaldo Castineira,Spain,IM,2491,
875,Sarasadat Khademalsharieh,Iran,IM,2490,"Sarasadat Khademalsharieh is an Iranian international master who won a national championship in 2015. She had several notable performances as a youth player: winning the World Girls Under-12 Championship in 2009, the Asian Under-12 Girls' Championship in 2008, the Asian Under-16 Girls Blitz Championship..."
876,Martijn Dambacher,Netherlands,GM,2490,
877,Marcel Kanarek,Poland,GM,2490,
878,Tanguy Ringoir,Belgium,GM,2490,
879,Hans Tikkanen,Sweden,GM,2490,
880,Vignesh N R,India,IM,2490,"In this Indian name, the initials N R are derived from his father and the person should be referred to by the given name, Vignesh."
881,Azer Mirzoev,Azerbaijan,GM,2490,
882,Nikola Mitkov,North Macedonia,GM,2490,
883,Kevel Oliva Castaneda,Cuba,GM,2490,
884,Djurabek Khamrakulov,Uzbekistan,GM,2490,
885,Piotr Bobras,Poland,GM,2489,
886,Jacek Gdanski,Poland,GM,2489,
887,Tomas Oral,Czech Republic,GM,2489,
888,Omer Reshef,Israel,IM,2489,
889,Bryce Tiglon,United States,IM,2489,
890,Mishra Swayams,India,GM,,
891,Vojtech Zwardon,Czech Republic,IM,2489,
892,Miloje Ratkovic,Serbia,GM,2489,
893,Youri Solodovnitchenko,Ukraine,GM,2489,
894,Julen Luis Arizmendi Martinez,Spain,GM,2489,
